merchant,category,job,age,state,city,amt,is_fraud
"Parker, Nolan and Trantow",entertainment,Colour technologist,36,OR,Bay City,137.32,0
"Nicolas, Hills and McGlynn",entertainment,Museum/gallery exhibitions officer,31,CO,Colorado Springs,60.8,0
White and Sons,home,"Nurse, children's",43,NE,North Loup,5.7,0
Cummerata-Hilpert,entertainment,Historic buildings inspector/conservation officer,51,NM,Espanola,43.67,0
Eichmann-Kilback,home,Tax inspector,35,MO,Rocky Mount,21.6,0
Eichmann-Kilback,home,Forensic psychologist,62,OR,Westfir,52.48,0
Schroeder Group,health_fitness,"Editor, magazine features",28,CA,Hawthorne,30.11,0
"Bins, Balistreri and Beatty",shopping_pos,Public house manager,49,WA,Burlington,1.78,0
"Dare, Fritsch and Zboncak",health_fitness,Video editor,67,WA,Ashford,9.91,0
Daugherty-Thompson,food_dining,Contractor,42,AZ,Phoenix,61.99,0
Cormier LLC,health_fitness,Naval architect,56,NM,High Rolls Mountain Park,31.05,0
Wuckert-Walte,grocery_net,"Engineer, production",30,MO,Independence,90.55,0
Runolfsson and Sons,grocery_net,Intelligence analyst,52,ID,Meridian,48.43,0
Botsford Lt,shopping_pos,"Surveyor, minerals",83,NE,Campbell,2.64,0
Hilpert-Conroy,kids_pets,Product designer,88,NE,Westerville,25.18,0
Mraz-Herzog,gas_transport,Educational psychologist,42,WY,Manville,58.15,0
Padberg-Rogahn,entertainment,"Administrator, local government",50,WY,Alva,70.09,0
Bashirian Group,shopping_net,Teaching laboratory technician,38,WA,Vancouver,119.68,0
Hermann-Gaylo,misc_pos,Health physicist,52,CA,Newhall,3.14,0
Pouros-Haag,shopping_pos,Airline pilot,38,CA,Napa,1.35,0
"Berge, Kautzer and Harris",personal_care,Special educational needs teacher,45,WA,Orient,25.87,0
Bruen-Yost,misc_pos,Learning mentor,68,CA,Indian Wells,1.52,0
Pagac LLC,shopping_pos,Public relations account executive,84,CO,Meredith,3.53,0
Heidenreich PLC,grocery_pos,Contractor,42,AZ,Phoenix,218.79,0
Dare-Gibson,health_fitness,Product designer,88,NE,Westerville,103.6,0
Price Inc,shopping_net,Tax inspector,35,MO,Rocky Mount,1.63,0
"Hayes, Marquardt and Dibbert",misc_net,Futures trader,30,UT,American Fork,65.69,0
Lockman Lt,grocery_pos,Cartographer,57,ID,Mesa,208.51,0
Gottlieb Group,kids_pets,"Engineer, communications",22,MO,Ballwin,24.49,0
"Schuppe, Nolan and Hoege",shopping_pos,Building surveyor,88,AZ,Paradise Valley,4.37,0
"Larson, Quitzon and Spence",travel,"Civil engineer, contracting",62,CA,Santa Monica,2.92,0
Eichmann-Kilback,home,Information systems manager,37,WY,Fort Washakie,158.14,0
Brekke and Sons,gas_transport,Occupational psychologist,69,CA,Tomales,48.54,0
Durgan-Aue,misc_net,Research scientist (physical sciences),46,OR,Newberg,5.28,0
"Turner, Ruecker and Parisian",misc_pos,Music therapist,39,WY,Rock Springs,5.52,0
"Romaguera, Wehner and Tromp",kids_pets,"Scientist, research (maths)",32,HI,Paauilo,37.49,0
"Tillman, Dickinson and Labadie",gas_transport,Special educational needs teacher,45,WA,Orient,49.65,0
Howe PLC,entertainment,Tax inspector,35,MO,Rocky Mount,15.87,0
Ziemann-Waters,health_fitness,Clinical research associate,50,MO,Odessa,73.1,0
"Wintheiser, Dietrich and Schimmel",misc_pos,Sales executive,53,CA,Laguna Hills,29.4,0
Cruickshank-Mills,entertainment,Tourist information centre manager,48,MO,Meadville,68.31,0
Gulgowski LLC,home,Advertising account planner,41,CA,Glendale,11.72,0
"Klocko, Runolfsdottir and Breitenberg",health_fitness,Architect,70,MO,Mound City,35.41,0
Marks Inc,gas_transport,Physiotherapist,56,HI,Honokaa,79.28,0
"Kovacek, Dibbert and Ondrick",grocery_pos,Geoscientist,61,UT,Hatch,103.18,0
"Morissette, Weber and Wiegan",grocery_net,Research scientist (maths),95,NE,Howells,14.31,1
Bednar PLC,kids_pets,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,21.01,0
"Windler, Goodwin and Kovacek",home,"Therapist, art",35,NM,Moriarty,45.26,0
Shields-Wunsch,health_fitness,Barista,49,CA,Oakland,105.17,0
Spencer PLC,entertainment,"Therapist, music",35,CA,Mountain Center,1.82,0
Kemmer-Reinge,grocery_net,"Research officer, political party",39,WA,Conway,34.99,0
Rempel Inc,shopping_net,Product designer,88,NE,Westerville,485.02,0
Heathcote LLC,shopping_net,"Therapist, art",35,NM,Moriarty,6.77,0
"Haley, Jewess and Bechtel",shopping_pos,Naval architect,56,NM,High Rolls Mountain Park,2.63,0
"Metz, Russel and Metz",kids_pets,Barrister,87,OR,Cascade Locks,64.77,0
"Olson, Becker and Koch",gas_transport,Occupational psychologist,69,CA,Tomales,50.57,0
"Welch, Rath and Koepp",entertainment,"Nurse, children's",43,NE,North Loup,84.92,0
"Raynor, Feest and Mille",gas_transport,Research scientist (maths),95,NE,Howells,50.48,0
"Roberts, Ryan and Smith",personal_care,"Engineer, maintenance",67,OR,Gardiner,29.62,0
"Lesch, D'Amore and Brown",food_dining,Educational psychologist,71,NM,Loving,12.1,0
"Eichmann, Bogan and Rodriguez",gas_transport,Building surveyor,88,AZ,Paradise Valley,43.51,0
Connelly-Carte,home,Investment analyst,49,MO,Redford,10.92,0
"Windler, Goodwin and Kovacek",home,"Nurse, children's",43,NE,North Loup,11.29,0
Collier LLC,home,Barista,49,CA,Oakland,204.2,0
"Lang, Towne and Schuppe",kids_pets,Retail merchandiser,95,OR,Sixes,27.28,0
Crona and Sons,kids_pets,Building surveyor,88,AZ,Paradise Valley,59.23,0
Botsford and Sons,home,Early years teacher,50,CA,Helm,75.5,0
"Nitzsche, Kessler and Wol",shopping_pos,"Teacher, adult education",34,CA,Wendel,1053.54,0
"Langosh, Wintheiser and Hyatt",food_dining,Occupational psychologist,69,CA,Tomales,89.25,0
Bernhard-Lesch,food_dining,Location manager,33,UT,Moab,50.13,0
Medhurst PLC,shopping_net,"Education officer, museum",56,WY,Freedom,9.43,0
Gutmann Lt,grocery_net,Advertising account planner,41,CA,Glendale,112.5,0
Dare-Gibson,health_fitness,Network engineer,67,CO,Kirk,35.9,0
Ernser-Feest,home,"Therapist, music",35,CA,Mountain Center,139.45,0
Abernathy and Sons,food_dining,"Teacher, early years/pre",82,MO,Louisiana,70.46,0
"Turner, Ruecker and Parisian",misc_pos,Licensed conveyancer,23,NM,Ruidoso,381.52,0
"Dare, Fritsch and Zboncak",health_fitness,Clothing/textile technologist,24,WA,Tekoa,1.44,0
Skiles LLC,home,Contractor,42,AZ,Phoenix,77.8,0
Ratke and Sons,health_fitness,Occupational hygienist,63,MO,Saint Louis,53.86,0
"Crist, Jakubowski and Littel",home,Town planner,57,MO,Luray,64.4,0
"Reinger, Weissnat and Strosin",food_dining,Musician,41,WA,Burbank,62.33,0
Wolf Inc,grocery_pos,Network engineer,67,CO,Kirk,121.15,0
Renner Lt,home,Dealer,47,OR,Athena,89.04,0
"Douglas, Schneider and Turne",shopping_pos,Petroleum engineer,36,AZ,Superior,9.47,0
Bailey-Mo,grocery_pos,Educational psychologist,42,WY,Manville,97.84,0
Smitham-Schille,grocery_net,Electronics engineer,34,MO,Centerview,28.14,0
Smith-Stokes,misc_pos,Town planner,57,MO,Luray,2.48,0
Zulauf LLC,personal_care,Location manager,33,UT,Moab,126.27,0
Rau-Robel,kids_pets,Dealer,71,NE,Weeping Water,27.27,0
Schmidt and Sons,shopping_net,Systems analyst,77,CA,Grenada,1.39,0
Parker-Kunde,personal_care,Television/film/video producer,66,NE,Nelson,42.1,0
"Watsica, Haag and Considine",shopping_pos,Airline pilot,38,CA,Napa,16.17,0
Lemke-Gutmann,shopping_net,Information systems manager,37,WY,Fort Washakie,1.87,0
"Denesik, Powlowski and Pouros",home,Podiatrist,51,CA,Lakeport,22.92,0
"Hoppe, Harris and Bedn",entertainment,"Engineer, automotive",49,NE,Hooper,24.91,0
Breitenberg-Hermiston,kids_pets,Water engineer,48,CO,Littleton,9.61,0
Fisher Inc,shopping_net,Wellsite geologist,57,CA,Corona,5.47,0
Kris-Padberg,shopping_pos,"Engineer, petroleum",86,OR,Scotts Mills,8.94,0
Thiel PLC,misc_pos,Colour technologist,64,MO,Camden,5.87,0
Douglas-White,entertainment,Retail merchandiser,95,OR,Sixes,23.8,0
"Koss, Hansen and Lueilwitz",home,Barista,49,CA,Oakland,152.18,0
"Walter, Hettinger and Kessle",personal_care,"Scientist, audiological",60,UT,Mendon,125.79,0
Johns Inc,entertainment,Armed forces training and education officer,64,CA,Port Costa,36.31,0
Ullrich Lt,kids_pets,Physiotherapist,56,HI,Honokaa,96.32,0
McDermott-Rice,misc_pos,Water engineer,48,CO,Littleton,6.18,0
Kozey-Boehm,shopping_net,Economist,29,OR,Jordan Valley,92.82,0
Skiles LLC,home,Insurance broker,44,UT,Woods Cross,154.99,0
Harber Inc,gas_transport,Educational psychologist,42,WY,Manville,65.54,0
"Kihn, Abernathy and Douglas",shopping_net,Licensed conveyancer,23,NM,Ruidoso,44.01,0
"Kihn, Brakus and Goyette",personal_care,"Editor, magazine features",28,CA,Hawthorne,15.88,0
Kozey-Kuhlman,personal_care,Architect,70,MO,Mound City,1.25,0
Cartwright-Harris,grocery_pos,Systems analyst,77,CA,Grenada,165.13,0
Cummerata-Hilpert,entertainment,Glass blower/designer,53,MO,Williamsburg,83.43,0
"Yost, Schamberger and Windle",kids_pets,"Editor, magazine features",28,CA,Hawthorne,11.73,0
"Reinger, Weissnat and Strosin",food_dining,"Designer, exhibition/display",51,CA,Sun City,64.18,0
"Hermiston, Russel and Price",food_dining,Immigration officer,36,CA,Fiddletown,64.62,0
Trantow PLC,grocery_net,Insurance broker,41,NE,Sutherland,48.4,0
Reichel Inc,entertainment,Petroleum engineer,36,AZ,Superior,65.59,0
Wuckert-Goldne,home,Music therapist,39,WY,Rock Springs,64.24,0
Champlin-Caspe,home,Advertising account planner,41,CA,Glendale,281.48,0
Kassulke Inc,entertainment,Mental health nurse,45,CO,Dumont,80.85,0
Abernathy and Sons,food_dining,Firefighter,50,CA,Norwalk,13.64,0
DuBuque LLC,grocery_pos,Petroleum engineer,36,AZ,Superior,180.43,0
Sporer Inc,gas_transport,Research scientist (physical sciences),42,WY,Lonetree,67.81,0
"Greenholt, Jacobi and Gleason",gas_transport,"Engineer, maintenance",67,OR,Gardiner,63.54,0
"Haley, Jewess and Bechtel",shopping_pos,Magazine features editor,44,CA,Sacramento,108.4,0
Padberg-Welch,grocery_pos,Health physicist,52,CA,Newhall,222.06,0
Volkman Lt,misc_net,"Designer, exhibition/display",51,CA,Sun City,1.83,0
Kiehn Inc,grocery_pos,"Surveyor, minerals",83,NE,Campbell,116.62,0
Schumm PLC,health_fitness,"Buyer, industrial",32,CA,Daly City,114.65,0
"Konopelski, Schneider and Hartmann",food_dining,Naval architect,56,NM,High Rolls Mountain Park,94.59,0
Stoltenberg-Beatty,shopping_pos,Private music teacher,53,MO,Brashear,8.63,0
Collier LLC,home,Metallurgist,48,NE,Carroll,91.19,0
Hyatt-Blick,travel,Museum education officer,81,OR,Kent,1.11,0
"McCullough, Hudson and Schuste",food_dining,Counselling psychologist,23,AZ,Phoenix,17.82,0
Bode-Schuste,kids_pets,"Designer, exhibition/display",51,CA,Sun City,34.62,0
Koepp-Witting,grocery_pos,Systems analyst,57,OR,Lowell,137.66,0
Breitenberg-Hermiston,kids_pets,"Surveyor, minerals",36,UT,Thompson,36.49,0
Kovacek Lt,travel,"Surveyor, minerals",83,NE,Campbell,2.39,0
Feil-Mo,health_fitness,Public house manager,49,WA,Burlington,155.38,0
Jacobi Inc,health_fitness,"Surveyor, land/geomatics",35,NM,Red River,3.23,0
Cole PLC,grocery_pos,Health physicist,52,CA,Newhall,181.13,0
"Swift, Bradtke and Marquardt",grocery_net,Tourist information centre manager,48,MO,Meadville,55.78,0
"Schaefer, Fay and Hilll",entertainment,"Scientist, physiological",59,OR,Eugene,3.67,0
Rau-Robel,kids_pets,"Buyer, industrial",32,CA,Daly City,29.82,0
"Moen, Reinger and Murphy",grocery_pos,Water engineer,48,CO,Littleton,198.27,0
Barrows PLC,shopping_pos,Contractor,42,AZ,Phoenix,60.0,0
Bernhard Inc,gas_transport,"Research officer, political party",39,WA,Conway,42.41,0
Gerlach Inc,shopping_net,"Engineer, maintenance",67,OR,Gardiner,141.53,0
Schaefer Lt,kids_pets,Health physicist,52,CA,Newhall,58.76,0
Jacobi Inc,health_fitness,Firefighter,50,CA,Norwalk,12.1,0
Wisozk and Sons,misc_pos,Early years teacher,50,CA,Helm,40.48,0
Conroy-Em,food_dining,Architectural technologist,62,NM,Llano,1.17,0
Vandervort-Funk,grocery_pos,"Therapist, occupational",72,CA,Carlotta,100.35,0
"Watsica, Haag and Considine",shopping_pos,Wellsite geologist,57,CA,Corona,5.92,0
"Schneider, Hayes and Nikolaus",food_dining,Barrister,87,OR,Cascade Locks,9.67,0
Kutch-Wilderman,home,Public house manager,49,WA,Burlington,23.25,0
Padberg-Welch,grocery_pos,Systems analyst,57,OR,Lowell,80.22,0
Lynch-Wisozk,home,Clinical research associate,50,MO,Odessa,174.26,0
"Kutch, Steuber and Gerhol",food_dining,Further education lecturer,35,CO,Pueblo,1.41,0
Fritsch and Sons,health_fitness,Education administrator,57,CA,Vinton,95.37,0
Terry-Huel,shopping_net,Television/film/video producer,66,NE,Nelson,4.96,0
"Connelly, Reichert and Fritsch",gas_transport,Clothing/textile technologist,24,WA,Tekoa,63.07,0
Deckow-O'Conne,grocery_pos,"Surveyor, land/geomatics",45,NM,Kirtland Afb,89.3,0
Dibbert and Sons,entertainment,"Pilot, airline",35,WY,Laramie,136.84,0
Stark-Koss,home,Chartered public finance accountant,64,CA,San Diego,116.38,0
Waelchi-Wol,kids_pets,Video editor,67,WA,Ashford,108.6,0
Zemlak Group,misc_net,"Administrator, education",84,AK,Wales,12.73,0
"Wuckert, Wintheiser and Friesen",home,Special educational needs teacher,45,WA,Orient,22.62,0
Friesen-Ortiz,personal_care,Educational psychologist,42,WY,Manville,25.11,0
Ortiz Group,grocery_net,Insurance broker,44,UT,Woods Cross,82.75,0
Bartoletti-Wunsch,gas_transport,Research scientist (maths),95,NE,Howells,59.78,0
Stark-Batz,entertainment,Contractor,42,AZ,Phoenix,238.07,0
White and Sons,home,"Engineer, automotive",49,NE,Hooper,127.7,0
"Hyatt, Russel and Gleichne",health_fitness,Museum/gallery exhibitions officer,31,CO,Colorado Springs,5.56,0
Kilback and Sons,entertainment,Production manager,38,MO,Wheaton,4.33,0
"Little, Gutmann and Lynch",shopping_net,Contractor,42,AZ,Phoenix,52.17,0
"Streich, Rolfson and Wilderman",kids_pets,"Engineer, automotive",49,NE,Hooper,80.25,0
Schmitt Lt,misc_net,"Surveyor, land/geomatics",35,NM,Red River,359.67,0
Connelly-Carte,home,Dealer,47,OR,Athena,72.12,0
Little Lt,kids_pets,"Investment banker, corporate",73,MO,Unionville,116.2,0
Kozey-Boehm,shopping_net,Metallurgist,48,NE,Carroll,99.15,0
"Reichert, Huels and Hoppe",shopping_net,Video editor,67,WA,Ashford,5.3,0
Medhurst Inc,home,Freight forwarder,47,WY,Fort Washakie,82.55,0
Crooks and Sons,personal_care,"Education officer, museum",56,WY,Freedom,85.78,0
"Lind, Huel and McClure",gas_transport,Insurance broker,41,NE,Sutherland,47.32,0
"Reinger, Weissnat and Strosin",food_dining,"Pharmacist, hospital",63,CA,San Diego,60.86,0
Funk Group,grocery_net,"Engineer, agricultural",43,MO,Kissee Mills,46.58,0
Stark-Koss,home,Armed forces training and education officer,64,CA,Port Costa,89.91,0
Auer LLC,personal_care,"Engineer, automotive",49,NE,Hooper,11.85,0
Berge LLC,gas_transport,"Editor, magazine features",28,CA,Hawthorne,79.18,0
Metz-Boehm,shopping_pos,Armed forces training and education officer,64,CA,Port Costa,192.55,0
Watsica LLC,personal_care,"Research officer, political party",39,WA,Conway,219.34,0
Koss and Sons,gas_transport,Colour technologist,36,OR,Bay City,70.93,0
"Becker, Harris and Harvey",personal_care,Naval architect,56,NM,High Rolls Mountain Park,163.92,0
Lemke-Gutmann,shopping_net,"Civil engineer, contracting",62,CA,Santa Monica,7.94,0
Fisher Inc,shopping_net,Special educational needs teacher,45,WA,Orient,7.48,0
Kunde-Sanfo,misc_net,Tax inspector,35,MO,Rocky Mount,3.25,0
"Moore, Williamson and Emmerich",home,"Pilot, airline",35,WY,Laramie,25.11,0
Wolf Inc,grocery_pos,"Surveyor, land/geomatics",35,NM,Red River,86.2,0
Friesen-Ortiz,personal_care,"Research officer, political party",39,WA,Conway,75.35,0
"Bins, Balistreri and Beatty",shopping_pos,"Surveyor, mining",50,NE,Fullerton,380.25,0
Reynolds-Schinne,misc_pos,Hotel manager,36,CO,Arvada,8.32,0
Heller-Langosh,gas_transport,Chief Marketing Officer,80,WA,Colton,60.09,0
"McDermott, Osinski and Mo",home,Cartographer,57,ID,Mesa,14.2,0
Jast-McDermott,shopping_pos,Naval architect,56,NM,High Rolls Mountain Park,59.93,0
Brown-Greenholt,entertainment,Call centre manager,65,CA,Greenview,4.05,0
DuBuque LLC,grocery_pos,Special educational needs teacher,45,WA,Orient,77.31,0
Bauch-Rayno,grocery_pos,Telecommunications researcher,73,NE,Holstein,140.03,0
"Bahringer, Bergnaum and Quitzon",home,Educational psychologist,71,NM,Loving,13.42,0
"Schneider, Hayes and Nikolaus",food_dining,"Therapist, art",35,NM,Moriarty,3.17,0
Kuhn Group,food_dining,Glass blower/designer,53,MO,Williamsburg,53.54,0
"Turner, Ruecker and Parisian",misc_pos,Product designer,88,NE,Westerville,9.0,0
Ruecker-Mayert,kids_pets,"Therapist, art",35,NM,Moriarty,67.96,0
Lind-Buckridge,entertainment,Metallurgist,48,NE,Carroll,71.94,0
Harber Inc,gas_transport,Architect,70,MO,Mound City,54.62,0
"Tillman, Fritsch and Schmitt",misc_net,"Civil engineer, contracting",62,CA,Santa Monica,3.59,0
Bernhard-Lesch,food_dining,Forensic psychologist,62,OR,Westfir,9.56,0
Cole PLC,grocery_pos,Tax inspector,35,MO,Rocky Mount,91.08,0
Friesen Lt,health_fitness,Occupational hygienist,63,MO,Saint Louis,12.22,0
Auer-West,shopping_net,Investment analyst,49,MO,Redford,7.31,0
Kiehn-Emmerich,grocery_pos,"Editor, magazine features",28,CA,Hawthorne,68.3,0
Sporer Inc,gas_transport,Human resources officer,56,NE,Manley,67.33,0
Ankunding LLC,shopping_net,Systems analyst,57,OR,Lowell,3.91,0
Medhurst Inc,home,Tourist information centre manager,48,MO,Meadville,78.5,0
"Quitzon, Green and Bashirian",shopping_pos,"Surveyor, mining",50,NE,Fullerton,9.25,0
Christiansen-Gusikowski,misc_pos,"Engineer, communications",22,MO,Ballwin,9.13,0
Beier and Sons,home,Aeronautical engineer,44,MO,Matthews,12.67,0
Treutel-King,travel,Call centre manager,65,CA,Greenview,1.01,0
Mohr Inc,shopping_pos,Intelligence analyst,52,ID,Meridian,4.18,0
"Hettinger, McCullough and Fay",home,Telecommunications researcher,73,NE,Holstein,34.53,0
Jacobi and Sons,shopping_pos,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,7.5,0
Heller-Langosh,gas_transport,"Scientist, audiological",60,UT,Mendon,49.45,0
"Stroman, Hudson and Erdman",gas_transport,"Surveyor, land/geomatics",35,NM,Red River,91.25,0
Champlin-Caspe,home,"Radiographer, diagnostic",61,MO,Syracuse,56.05,0
"Nienow, Barrows and Romague",personal_care,Electronics engineer,34,MO,Centerview,5.54,0
Crona and Sons,kids_pets,Agricultural consultant,73,MO,Blairstown,73.99,0
O'Hara-Wilderman,food_dining,Naval architect,25,MO,Owensville,4.64,0
Ledner-Pfannerstill,gas_transport,Human resources officer,56,NE,Manley,41.11,0
"Cronin, Kshlerin and Webe",health_fitness,Chief Marketing Officer,80,WA,Colton,2.29,0
Kling Inc,gas_transport,Video editor,67,WA,Ashford,66.52,0
"Moore, Dibbert and Koepp",misc_net,Counselling psychologist,23,AZ,Phoenix,107.74,0
"Terry, Johns and Bins",misc_pos,Local government officer,69,OR,Powell Butte,27.29,0
Donnelly PLC,misc_net,Television/film/video producer,66,NE,Nelson,1309.7,0
Buckridge PLC,misc_pos,Land/geomatics surveyor,38,MO,Arnold,2.05,0
"Dare, Casper and Bartoletti",kids_pets,Barrister,87,OR,Cascade Locks,3.11,0
Morissette-Schaefe,personal_care,"Education officer, museum",56,WY,Freedom,33.09,0
Fisher-Schowalte,shopping_net,Insurance broker,41,NE,Sutherland,6.31,0
"Douglas, DuBuque and McKenzie",travel,Aeronautical engineer,44,MO,Matthews,7.17,0
Beier LLC,entertainment,"Engineer, maintenance",67,OR,Gardiner,61.45,0
Rau-Grant,kids_pets,"Education officer, museum",56,WY,Freedom,2.36,0
"Turcotte, Batz and Buckridge",health_fitness,Video editor,67,WA,Ashford,28.98,0
"Douglas, Schneider and Turne",shopping_pos,Special educational needs teacher,45,WA,Orient,9.58,0
Lubowitz-Walte,kids_pets,Educational psychologist,71,NM,Loving,10.93,0
Sporer Inc,gas_transport,"Editor, magazine features",28,CA,Hawthorne,73.36,0
Schoen-Quigley,kids_pets,IT consultant,34,NM,Crownpoint,84.51,0
Auer-Mosciski,grocery_pos,Occupational psychologist,69,CA,Tomales,160.01,0
"Stroman, Hudson and Erdman",gas_transport,"Scientist, research (maths)",32,HI,Paauilo,81.97,0
Rempel Inc,shopping_net,"Nurse, children's",43,NE,North Loup,9.2,0
Howe PLC,entertainment,Geoscientist,61,UT,Hatch,82.72,0
"Schuppe, Nolan and Hoege",shopping_pos,"Lecturer, higher education",30,WY,Riverton,4.61,0
"Windler, Goodwin and Kovacek",home,Podiatrist,51,CA,Lakeport,25.74,0
Turner and Sons,shopping_pos,"Engineer, communications",22,MO,Ballwin,6.55,0
Goyette-Gerhol,kids_pets,Educational psychologist,42,WY,Manville,29.44,0
"Parisian, Schiller and Altenwerth",misc_net,Licensed conveyancer,23,NM,Ruidoso,55.1,0
"Schumm, Bauch and Ondrick",grocery_pos,Research scientist (maths),95,NE,Howells,106.25,0
Greenholt Lt,health_fitness,Public relations account executive,59,NM,Lamy,22.02,0
Kling Inc,gas_transport,Research scientist (maths),95,NE,Howells,47.53,0
Larkin Lt,kids_pets,Insurance broker,41,NE,Sutherland,20.47,0
Balistreri-Nade,misc_pos,Building surveyor,88,AZ,Paradise Valley,1.16,0
Jakubowski Inc,home,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,13.89,0
Kuphal-Toy,food_dining,"Engineer, maintenance",67,OR,Gardiner,10.89,0
"Bradtke, Torp and Bahringe",personal_care,Insurance broker,41,NE,Sutherland,2.13,0
Bahringer Group,health_fitness,Geoscientist,26,CA,San Jose,92.93,0
Kassulke PLC,shopping_net,"Scientist, audiological",94,CA,Fields Landing,14.15,0
"Hahn, Douglas and Schowalte",travel,"Engineer, communications",22,MO,Ballwin,9.88,0
