merchant,category,job,age,state,city,amount
Erdman-Schaden,personal_care,Occupational hygienist,63,MO,Saint Louis,37.08
Hirthe-Beie,health_fitness,"Geologist, engineering",66,AZ,Parks,8.21
Bernhard Inc,gas_transport,Counselling psychologist,23,AZ,Phoenix,54.96
Wolf Inc,grocery_pos,"Administrator, local government",50,WY,Alva,99.53
Schulist Lt,food_dining,Chartered public finance accountant,64,CA,San Diego,23.86
"Zboncak, Rowe and Murazik",shopping_net,Water engineer,48,CO,Littleton,546.99
Breitenberg-Hermiston,kids_pets,"Engineer, petroleum",86,OR,Scotts Mills,19.61
"Douglas, Schneider and Turne",shopping_pos,Music therapist,39,WY,Rock Springs,2.64
"Streich, Rolfson and Wilderman",kids_pets,"Therapist, art",35,NM,Moriarty,41.99
"Casper, Hand and Zul",grocery_pos,Musician,41,WA,Burbank,204.98
Cruickshank-Mills,entertainment,Licensed conveyancer,23,NM,Ruidoso,77.13
"Kuhic, Bins and Pfeffe",shopping_net,"Civil engineer, contracting",68,AZ,Humboldt,9.97
Bode-Rempel,kids_pets,Tourist information centre manager,48,MO,Meadville,48.07
Morissette PLC,shopping_pos,Aeronautical engineer,44,MO,Matthews,211.16
Schuppe LLC,entertainment,Freight forwarder,47,WY,Fort Washakie,72.3
Kunde-Sanfo,misc_net,"Therapist, horticultural",47,CA,Huntington Beach,5.43
"Becker, Harris and Harvey",personal_care,Contractor,42,AZ,Phoenix,17.51
Bins-Tillman,entertainment,Land/geomatics surveyor,38,MO,Arnold,3.48
"Connelly, Reichert and Fritsch",gas_transport,Cytogeneticist,69,MO,Browning,56.9
"Heathcote, Yost and Kertzmann",shopping_net,Contractor,42,AZ,Phoenix,10.97
Bradtke PLC,grocery_pos,Armed forces training and education officer,64,CA,Port Costa,119.1
Beier LLC,entertainment,Freight forwarder,47,WY,Fort Washakie,77.56
Bernhard Inc,gas_transport,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,74.53
Monahan-Mo,personal_care,"Engineer, agricultural",43,MO,Kissee Mills,79.39
"Parker, Nolan and Trantow",entertainment,Colour technologist,36,OR,Bay City,137.32
"Nicolas, Hills and McGlynn",entertainment,Museum/gallery exhibitions officer,31,CO,Colorado Springs,60.8
White and Sons,home,"Nurse, children's",43,NE,North Loup,5.7
Cummerata-Hilpert,entertainment,Historic buildings inspector/conservation officer,51,NM,Espanola,43.67
Eichmann-Kilback,home,Tax inspector,35,MO,Rocky Mount,21.6
Eichmann-Kilback,home,Forensic psychologist,62,OR,Westfir,52.48
Schroeder Group,health_fitness,"Editor, magazine features",28,CA,Hawthorne,30.11
"Bins, Balistreri and Beatty",shopping_pos,Public house manager,49,WA,Burlington,1.78
"Dare, Fritsch and Zboncak",health_fitness,Video editor,67,WA,Ashford,9.91
Daugherty-Thompson,food_dining,Contractor,42,AZ,Phoenix,61.99
Cormier LLC,health_fitness,Naval architect,56,NM,High Rolls Mountain Park,31.05
Wuckert-Walte,grocery_net,"Engineer, production",30,MO,Independence,90.55
Runolfsson and Sons,grocery_net,Intelligence analyst,52,ID,Meridian,48.43
Botsford Lt,shopping_pos,"Surveyor, minerals",83,NE,Campbell,2.64
Hilpert-Conroy,kids_pets,Product designer,88,NE,Westerville,25.18
Mraz-Herzog,gas_transport,Educational psychologist,42,WY,Manville,58.15
Padberg-Rogahn,entertainment,"Administrator, local government",50,WY,Alva,70.09
Bashirian Group,shopping_net,Teaching laboratory technician,38,WA,Vancouver,119.68
Hermann-Gaylo,misc_pos,Health physicist,52,CA,Newhall,3.14
Pouros-Haag,shopping_pos,Airline pilot,38,CA,Napa,1.35
"Berge, Kautzer and Harris",personal_care,Special educational needs teacher,45,WA,Orient,25.87
Bruen-Yost,misc_pos,Learning mentor,68,CA,Indian Wells,1.52
Pagac LLC,shopping_pos,Public relations account executive,84,CO,Meredith,3.53
Heidenreich PLC,grocery_pos,Contractor,42,AZ,Phoenix,218.79
Dare-Gibson,health_fitness,Product designer,88,NE,Westerville,103.6
Price Inc,shopping_net,Tax inspector,35,MO,Rocky Mount,1.63
"Hayes, Marquardt and Dibbert",misc_net,Futures trader,30,UT,American Fork,65.69
Lockman Lt,grocery_pos,Cartographer,57,ID,Mesa,208.51
Gottlieb Group,kids_pets,"Engineer, communications",22,MO,Ballwin,24.49
"Schuppe, Nolan and Hoege",shopping_pos,Building surveyor,88,AZ,Paradise Valley,4.37
"Larson, Quitzon and Spence",travel,"Civil engineer, contracting",62,CA,Santa Monica,2.92
Eichmann-Kilback,home,Information systems manager,37,WY,Fort Washakie,158.14
Brekke and Sons,gas_transport,Occupational psychologist,69,CA,Tomales,48.54
Durgan-Aue,misc_net,Research scientist (physical sciences),46,OR,Newberg,5.28
"Turner, Ruecker and Parisian",misc_pos,Music therapist,39,WY,Rock Springs,5.52
"Romaguera, Wehner and Tromp",kids_pets,"Scientist, research (maths)",32,HI,Paauilo,37.49
"Tillman, Dickinson and Labadie",gas_transport,Special educational needs teacher,45,WA,Orient,49.65
Howe PLC,entertainment,Tax inspector,35,MO,Rocky Mount,15.87
Ziemann-Waters,health_fitness,Clinical research associate,50,MO,Odessa,73.1
"Wintheiser, Dietrich and Schimmel",misc_pos,Sales executive,53,CA,Laguna Hills,29.4
Cruickshank-Mills,entertainment,Tourist information centre manager,48,MO,Meadville,68.31
Gulgowski LLC,home,Advertising account planner,41,CA,Glendale,11.72
"Klocko, Runolfsdottir and Breitenberg",health_fitness,Architect,70,MO,Mound City,35.41
Marks Inc,gas_transport,Physiotherapist,56,HI,Honokaa,79.28
"Kovacek, Dibbert and Ondrick",grocery_pos,Geoscientist,61,UT,Hatch,103.18
"Morissette, Weber and Wiegan",grocery_net,Research scientist (maths),95,NE,Howells,14.31
Bednar PLC,kids_pets,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,21.01
"Windler, Goodwin and Kovacek",home,"Therapist, art",35,NM,Moriarty,45.26
Shields-Wunsch,health_fitness,Barista,49,CA,Oakland,105.17
Spencer PLC,entertainment,"Therapist, music",35,CA,Mountain Center,1.82
Kemmer-Reinge,grocery_net,"Research officer, political party",39,WA,Conway,34.99
Rempel Inc,shopping_net,Product designer,88,NE,Westerville,485.02
Heathcote LLC,shopping_net,"Therapist, art",35,NM,Moriarty,6.77
"Haley, Jewess and Bechtel",shopping_pos,Naval architect,56,NM,High Rolls Mountain Park,2.63
"Metz, Russel and Metz",kids_pets,Barrister,87,OR,Cascade Locks,64.77
"Olson, Becker and Koch",gas_transport,Occupational psychologist,69,CA,Tomales,50.57
"Welch, Rath and Koepp",entertainment,"Nurse, children's",43,NE,North Loup,84.92
"Raynor, Feest and Mille",gas_transport,Research scientist (maths),95,NE,Howells,50.48
"Roberts, Ryan and Smith",personal_care,"Engineer, maintenance",67,OR,Gardiner,29.62
"Lesch, D'Amore and Brown",food_dining,Educational psychologist,71,NM,Loving,12.1
"Eichmann, Bogan and Rodriguez",gas_transport,Building surveyor,88,AZ,Paradise Valley,43.51
Connelly-Carte,home,Investment analyst,49,MO,Redford,10.92
"Windler, Goodwin and Kovacek",home,"Nurse, children's",43,NE,North Loup,11.29
Collier LLC,home,Barista,49,CA,Oakland,204.2
"Lang, Towne and Schuppe",kids_pets,Retail merchandiser,95,OR,Sixes,27.28
Crona and Sons,kids_pets,Building surveyor,88,AZ,Paradise Valley,59.23
Botsford and Sons,home,Early years teacher,50,CA,Helm,75.5
"Nitzsche, Kessler and Wol",shopping_pos,"Teacher, adult education",34,CA,Wendel,1053.54
"Langosh, Wintheiser and Hyatt",food_dining,Occupational psychologist,69,CA,Tomales,89.25
Bernhard-Lesch,food_dining,Location manager,33,UT,Moab,50.13
Medhurst PLC,shopping_net,"Education officer, museum",56,WY,Freedom,9.43
Gutmann Lt,grocery_net,Advertising account planner,41,CA,Glendale,112.5
Dare-Gibson,health_fitness,Network engineer,67,CO,Kirk,35.9
Ernser-Feest,home,"Therapist, music",35,CA,Mountain Center,139.45
Abernathy and Sons,food_dining,"Teacher, early years/pre",82,MO,Louisiana,70.46
"Turner, Ruecker and Parisian",misc_pos,Licensed conveyancer,23,NM,Ruidoso,381.52
"Dare, Fritsch and Zboncak",health_fitness,Clothing/textile technologist,24,WA,Tekoa,1.44
Skiles LLC,home,Contractor,42,AZ,Phoenix,77.8
Ratke and Sons,health_fitness,Occupational hygienist,63,MO,Saint Louis,53.86
"Crist, Jakubowski and Littel",home,Town planner,57,MO,Luray,64.4
"Reinger, Weissnat and Strosin",food_dining,Musician,41,WA,Burbank,62.33
Wolf Inc,grocery_pos,Network engineer,67,CO,Kirk,121.15
Renner Lt,home,Dealer,47,OR,Athena,89.04
"Douglas, Schneider and Turne",shopping_pos,Petroleum engineer,36,AZ,Superior,9.47
Bailey-Mo,grocery_pos,Educational psychologist,42,WY,Manville,97.84
Smitham-Schille,grocery_net,Electronics engineer,34,MO,Centerview,28.14
Smith-Stokes,misc_pos,Town planner,57,MO,Luray,2.48
Zulauf LLC,personal_care,Location manager,33,UT,Moab,126.27
Rau-Robel,kids_pets,Dealer,71,NE,Weeping Water,27.27
Schmidt and Sons,shopping_net,Systems analyst,77,CA,Grenada,1.39
Parker-Kunde,personal_care,Television/film/video producer,66,NE,Nelson,42.1
"Watsica, Haag and Considine",shopping_pos,Airline pilot,38,CA,Napa,16.17
Lemke-Gutmann,shopping_net,Information systems manager,37,WY,Fort Washakie,1.87
"Denesik, Powlowski and Pouros",home,Podiatrist,51,CA,Lakeport,22.92
"Hoppe, Harris and Bedn",entertainment,"Engineer, automotive",49,NE,Hooper,24.91
Breitenberg-Hermiston,kids_pets,Water engineer,48,CO,Littleton,9.61
Fisher Inc,shopping_net,Wellsite geologist,57,CA,Corona,5.47
Kris-Padberg,shopping_pos,"Engineer, petroleum",86,OR,Scotts Mills,8.94
Thiel PLC,misc_pos,Colour technologist,64,MO,Camden,5.87
Douglas-White,entertainment,Retail merchandiser,95,OR,Sixes,23.8
"Koss, Hansen and Lueilwitz",home,Barista,49,CA,Oakland,152.18
"Walter, Hettinger and Kessle",personal_care,"Scientist, audiological",60,UT,Mendon,125.79
Johns Inc,entertainment,Armed forces training and education officer,64,CA,Port Costa,36.31
Ullrich Lt,kids_pets,Physiotherapist,56,HI,Honokaa,96.32
McDermott-Rice,misc_pos,Water engineer,48,CO,Littleton,6.18
Kozey-Boehm,shopping_net,Economist,29,OR,Jordan Valley,92.82
Skiles LLC,home,Insurance broker,44,UT,Woods Cross,154.99
Harber Inc,gas_transport,Educational psychologist,42,WY,Manville,65.54
"Kihn, Abernathy and Douglas",shopping_net,Licensed conveyancer,23,NM,Ruidoso,44.01
"Kihn, Brakus and Goyette",personal_care,"Editor, magazine features",28,CA,Hawthorne,15.88
Kozey-Kuhlman,personal_care,Architect,70,MO,Mound City,1.25
Cartwright-Harris,grocery_pos,Systems analyst,77,CA,Grenada,165.13
Cummerata-Hilpert,entertainment,Glass blower/designer,53,MO,Williamsburg,83.43
"Yost, Schamberger and Windle",kids_pets,"Editor, magazine features",28,CA,Hawthorne,11.73
"Reinger, Weissnat and Strosin",food_dining,"Designer, exhibition/display",51,CA,Sun City,64.18
"Hermiston, Russel and Price",food_dining,Immigration officer,36,CA,Fiddletown,64.62
Trantow PLC,grocery_net,Insurance broker,41,NE,Sutherland,48.4
Reichel Inc,entertainment,Petroleum engineer,36,AZ,Superior,65.59
Wuckert-Goldne,home,Music therapist,39,WY,Rock Springs,64.24
Champlin-Caspe,home,Advertising account planner,41,CA,Glendale,281.48
Kassulke Inc,entertainment,Mental health nurse,45,CO,Dumont,80.85
Abernathy and Sons,food_dining,Firefighter,50,CA,Norwalk,13.64
DuBuque LLC,grocery_pos,Petroleum engineer,36,AZ,Superior,180.43
Sporer Inc,gas_transport,Research scientist (physical sciences),42,WY,Lonetree,67.81
"Greenholt, Jacobi and Gleason",gas_transport,"Engineer, maintenance",67,OR,Gardiner,63.54
"Haley, Jewess and Bechtel",shopping_pos,Magazine features editor,44,CA,Sacramento,108.4
Padberg-Welch,grocery_pos,Health physicist,52,CA,Newhall,222.06
Volkman Lt,misc_net,"Designer, exhibition/display",51,CA,Sun City,1.83
Kiehn Inc,grocery_pos,"Surveyor, minerals",83,NE,Campbell,116.62
Schumm PLC,health_fitness,"Buyer, industrial",32,CA,Daly City,114.65
"Konopelski, Schneider and Hartmann",food_dining,Naval architect,56,NM,High Rolls Mountain Park,94.59
Stoltenberg-Beatty,shopping_pos,Private music teacher,53,MO,Brashear,8.63
Collier LLC,home,Metallurgist,48,NE,Carroll,91.19
Hyatt-Blick,travel,Museum education officer,81,OR,Kent,1.11
"McCullough, Hudson and Schuste",food_dining,Counselling psychologist,23,AZ,Phoenix,17.82
Bode-Schuste,kids_pets,"Designer, exhibition/display",51,CA,Sun City,34.62
Koepp-Witting,grocery_pos,Systems analyst,57,OR,Lowell,137.66
Breitenberg-Hermiston,kids_pets,"Surveyor, minerals",36,UT,Thompson,36.49
Kovacek Lt,travel,"Surveyor, minerals",83,NE,Campbell,2.39
Feil-Mo,health_fitness,Public house manager,49,WA,Burlington,155.38
Jacobi Inc,health_fitness,"Surveyor, land/geomatics",35,NM,Red River,3.23
Cole PLC,grocery_pos,Health physicist,52,CA,Newhall,181.13
"Swift, Bradtke and Marquardt",grocery_net,Tourist information centre manager,48,MO,Meadville,55.78
"Schaefer, Fay and Hilll",entertainment,"Scientist, physiological",59,OR,Eugene,3.67
Rau-Robel,kids_pets,"Buyer, industrial",32,CA,Daly City,29.82
"Moen, Reinger and Murphy",grocery_pos,Water engineer,48,CO,Littleton,198.27
Barrows PLC,shopping_pos,Contractor,42,AZ,Phoenix,60.0
Bernhard Inc,gas_transport,"Research officer, political party",39,WA,Conway,42.41
Gerlach Inc,shopping_net,"Engineer, maintenance",67,OR,Gardiner,141.53
Schaefer Lt,kids_pets,Health physicist,52,CA,Newhall,58.76
Jacobi Inc,health_fitness,Firefighter,50,CA,Norwalk,12.1
Wisozk and Sons,misc_pos,Early years teacher,50,CA,Helm,40.48
Conroy-Em,food_dining,Architectural technologist,62,NM,Llano,1.17
Vandervort-Funk,grocery_pos,"Therapist, occupational",72,CA,Carlotta,100.35
"Watsica, Haag and Considine",shopping_pos,Wellsite geologist,57,CA,Corona,5.92
"Schneider, Hayes and Nikolaus",food_dining,Barrister,87,OR,Cascade Locks,9.67
Kutch-Wilderman,home,Public house manager,49,WA,Burlington,23.25
Padberg-Welch,grocery_pos,Systems analyst,57,OR,Lowell,80.22
Lynch-Wisozk,home,Clinical research associate,50,MO,Odessa,174.26
"Kutch, Steuber and Gerhol",food_dining,Further education lecturer,35,CO,Pueblo,1.41
Fritsch and Sons,health_fitness,Education administrator,57,CA,Vinton,95.37
Terry-Huel,shopping_net,Television/film/video producer,66,NE,Nelson,4.96
"Connelly, Reichert and Fritsch",gas_transport,Clothing/textile technologist,24,WA,Tekoa,63.07
Deckow-O'Conne,grocery_pos,"Surveyor, land/geomatics",45,NM,Kirtland Afb,89.3
Dibbert and Sons,entertainment,"Pilot, airline",35,WY,Laramie,136.84
Stark-Koss,home,Chartered public finance accountant,64,CA,San Diego,116.38
Waelchi-Wol,kids_pets,Video editor,67,WA,Ashford,108.6
Zemlak Group,misc_net,"Administrator, education",84,AK,Wales,12.73
"Wuckert, Wintheiser and Friesen",home,Special educational needs teacher,45,WA,Orient,22.62
Friesen-Ortiz,personal_care,Educational psychologist,42,WY,Manville,25.11
Ortiz Group,grocery_net,Insurance broker,44,UT,Woods Cross,82.75
Bartoletti-Wunsch,gas_transport,Research scientist (maths),95,NE,Howells,59.78
Stark-Batz,entertainment,Contractor,42,AZ,Phoenix,238.07
White and Sons,home,"Engineer, automotive",49,NE,Hooper,127.7
"Hyatt, Russel and Gleichne",health_fitness,Museum/gallery exhibitions officer,31,CO,Colorado Springs,5.56
Kilback and Sons,entertainment,Production manager,38,MO,Wheaton,4.33
"Little, Gutmann and Lynch",shopping_net,Contractor,42,AZ,Phoenix,52.17
"Streich, Rolfson and Wilderman",kids_pets,"Engineer, automotive",49,NE,Hooper,80.25
Schmitt Lt,misc_net,"Surveyor, land/geomatics",35,NM,Red River,359.67
Connelly-Carte,home,Dealer,47,OR,Athena,72.12
Little Lt,kids_pets,"Investment banker, corporate",73,MO,Unionville,116.2
Kozey-Boehm,shopping_net,Metallurgist,48,NE,Carroll,99.15
"Reichert, Huels and Hoppe",shopping_net,Video editor,67,WA,Ashford,5.3
Medhurst Inc,home,Freight forwarder,47,WY,Fort Washakie,82.55
Crooks and Sons,personal_care,"Education officer, museum",56,WY,Freedom,85.78
"Lind, Huel and McClure",gas_transport,Insurance broker,41,NE,Sutherland,47.32
"Reinger, Weissnat and Strosin",food_dining,"Pharmacist, hospital",63,CA,San Diego,60.86
Funk Group,grocery_net,"Engineer, agricultural",43,MO,Kissee Mills,46.58
Stark-Koss,home,Armed forces training and education officer,64,CA,Port Costa,89.91
Auer LLC,personal_care,"Engineer, automotive",49,NE,Hooper,11.85
Berge LLC,gas_transport,"Editor, magazine features",28,CA,Hawthorne,79.18
Metz-Boehm,shopping_pos,Armed forces training and education officer,64,CA,Port Costa,192.55
Watsica LLC,personal_care,"Research officer, political party",39,WA,Conway,219.34
Koss and Sons,gas_transport,Colour technologist,36,OR,Bay City,70.93
"Becker, Harris and Harvey",personal_care,Naval architect,56,NM,High Rolls Mountain Park,163.92
Lemke-Gutmann,shopping_net,"Civil engineer, contracting",62,CA,Santa Monica,7.94
Fisher Inc,shopping_net,Special educational needs teacher,45,WA,Orient,7.48
Kunde-Sanfo,misc_net,Tax inspector,35,MO,Rocky Mount,3.25
"Moore, Williamson and Emmerich",home,"Pilot, airline",35,WY,Laramie,25.11
Wolf Inc,grocery_pos,"Surveyor, land/geomatics",35,NM,Red River,86.2
Friesen-Ortiz,personal_care,"Research officer, political party",39,WA,Conway,75.35
"Bins, Balistreri and Beatty",shopping_pos,"Surveyor, mining",50,NE,Fullerton,380.25
Reynolds-Schinne,misc_pos,Hotel manager,36,CO,Arvada,8.32
Heller-Langosh,gas_transport,Chief Marketing Officer,80,WA,Colton,60.09
"McDermott, Osinski and Mo",home,Cartographer,57,ID,Mesa,14.2
Jast-McDermott,shopping_pos,Naval architect,56,NM,High Rolls Mountain Park,59.93
Brown-Greenholt,entertainment,Call centre manager,65,CA,Greenview,4.05
DuBuque LLC,grocery_pos,Special educational needs teacher,45,WA,Orient,77.31
Bauch-Rayno,grocery_pos,Telecommunications researcher,73,NE,Holstein,140.03
"Bahringer, Bergnaum and Quitzon",home,Educational psychologist,71,NM,Loving,13.42
"Schneider, Hayes and Nikolaus",food_dining,"Therapist, art",35,NM,Moriarty,3.17
Kuhn Group,food_dining,Glass blower/designer,53,MO,Williamsburg,53.54
"Turner, Ruecker and Parisian",misc_pos,Product designer,88,NE,Westerville,9.0
Ruecker-Mayert,kids_pets,"Therapist, art",35,NM,Moriarty,67.96
Lind-Buckridge,entertainment,Metallurgist,48,NE,Carroll,71.94
Harber Inc,gas_transport,Architect,70,MO,Mound City,54.62
"Tillman, Fritsch and Schmitt",misc_net,"Civil engineer, contracting",62,CA,Santa Monica,3.59
Bernhard-Lesch,food_dining,Forensic psychologist,62,OR,Westfir,9.56
Cole PLC,grocery_pos,Tax inspector,35,MO,Rocky Mount,91.08
Friesen Lt,health_fitness,Occupational hygienist,63,MO,Saint Louis,12.22
Auer-West,shopping_net,Investment analyst,49,MO,Redford,7.31
Kiehn-Emmerich,grocery_pos,"Editor, magazine features",28,CA,Hawthorne,68.3
Sporer Inc,gas_transport,Human resources officer,56,NE,Manley,67.33
Ankunding LLC,shopping_net,Systems analyst,57,OR,Lowell,3.91
Medhurst Inc,home,Tourist information centre manager,48,MO,Meadville,78.5
"Quitzon, Green and Bashirian",shopping_pos,"Surveyor, mining",50,NE,Fullerton,9.25
Christiansen-Gusikowski,misc_pos,"Engineer, communications",22,MO,Ballwin,9.13
Beier and Sons,home,Aeronautical engineer,44,MO,Matthews,12.67
Treutel-King,travel,Call centre manager,65,CA,Greenview,1.01
Mohr Inc,shopping_pos,Intelligence analyst,52,ID,Meridian,4.18
"Hettinger, McCullough and Fay",home,Telecommunications researcher,73,NE,Holstein,34.53
Jacobi and Sons,shopping_pos,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,7.5
Heller-Langosh,gas_transport,"Scientist, audiological",60,UT,Mendon,49.45
"Stroman, Hudson and Erdman",gas_transport,"Surveyor, land/geomatics",35,NM,Red River,91.25
Champlin-Caspe,home,"Radiographer, diagnostic",61,MO,Syracuse,56.05
"Nienow, Barrows and Romague",personal_care,Electronics engineer,34,MO,Centerview,5.54
Crona and Sons,kids_pets,Agricultural consultant,73,MO,Blairstown,73.99
O'Hara-Wilderman,food_dining,Naval architect,25,MO,Owensville,4.64
Ledner-Pfannerstill,gas_transport,Human resources officer,56,NE,Manley,41.11
"Cronin, Kshlerin and Webe",health_fitness,Chief Marketing Officer,80,WA,Colton,2.29
Kling Inc,gas_transport,Video editor,67,WA,Ashford,66.52
"Moore, Dibbert and Koepp",misc_net,Counselling psychologist,23,AZ,Phoenix,107.74
"Terry, Johns and Bins",misc_pos,Local government officer,69,OR,Powell Butte,27.29
Donnelly PLC,misc_net,Television/film/video producer,66,NE,Nelson,1309.7
Buckridge PLC,misc_pos,Land/geomatics surveyor,38,MO,Arnold,2.05
"Dare, Casper and Bartoletti",kids_pets,Barrister,87,OR,Cascade Locks,3.11
Morissette-Schaefe,personal_care,"Education officer, museum",56,WY,Freedom,33.09
Fisher-Schowalte,shopping_net,Insurance broker,41,NE,Sutherland,6.31
"Douglas, DuBuque and McKenzie",travel,Aeronautical engineer,44,MO,Matthews,7.17
Beier LLC,entertainment,"Engineer, maintenance",67,OR,Gardiner,61.45
Rau-Grant,kids_pets,"Education officer, museum",56,WY,Freedom,2.36
"Turcotte, Batz and Buckridge",health_fitness,Video editor,67,WA,Ashford,28.98
"Douglas, Schneider and Turne",shopping_pos,Special educational needs teacher,45,WA,Orient,9.58
Lubowitz-Walte,kids_pets,Educational psychologist,71,NM,Loving,10.93
Sporer Inc,gas_transport,"Editor, magazine features",28,CA,Hawthorne,73.36
Schoen-Quigley,kids_pets,IT consultant,34,NM,Crownpoint,84.51
Auer-Mosciski,grocery_pos,Occupational psychologist,69,CA,Tomales,160.01
"Stroman, Hudson and Erdman",gas_transport,"Scientist, research (maths)",32,HI,Paauilo,81.97
Rempel Inc,shopping_net,"Nurse, children's",43,NE,North Loup,9.2
Howe PLC,entertainment,Geoscientist,61,UT,Hatch,82.72
"Schuppe, Nolan and Hoege",shopping_pos,"Lecturer, higher education",30,WY,Riverton,4.61
"Windler, Goodwin and Kovacek",home,Podiatrist,51,CA,Lakeport,25.74
Turner and Sons,shopping_pos,"Engineer, communications",22,MO,Ballwin,6.55
Goyette-Gerhol,kids_pets,Educational psychologist,42,WY,Manville,29.44
"Parisian, Schiller and Altenwerth",misc_net,Licensed conveyancer,23,NM,Ruidoso,55.1
"Schumm, Bauch and Ondrick",grocery_pos,Research scientist (maths),95,NE,Howells,106.25
Greenholt Lt,health_fitness,Public relations account executive,59,NM,Lamy,22.02
Kling Inc,gas_transport,Research scientist (maths),95,NE,Howells,47.53
Larkin Lt,kids_pets,Insurance broker,41,NE,Sutherland,20.47
Balistreri-Nade,misc_pos,Building surveyor,88,AZ,Paradise Valley,1.16
Jakubowski Inc,home,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,13.89
Kuphal-Toy,food_dining,"Engineer, maintenance",67,OR,Gardiner,10.89
"Bradtke, Torp and Bahringe",personal_care,Insurance broker,41,NE,Sutherland,2.13
Bahringer Group,health_fitness,Geoscientist,26,CA,San Jose,92.93
Kassulke PLC,shopping_net,"Scientist, audiological",94,CA,Fields Landing,14.15
"Hahn, Douglas and Schowalte",travel,"Engineer, communications",22,MO,Ballwin,9.88
Corwin-Gorczany,misc_net,Building surveyor,88,AZ,Paradise Valley,5.86
Wuckert-Goldne,home,Product/process development scientist,50,WY,Lagrange,5.21
"Hahn, Bahringer and McLaughlin",personal_care,Naval architect,56,NM,High Rolls Mountain Park,59.37
Swift PLC,kids_pets,Occupational hygienist,63,MO,Saint Louis,168.75
Zulauf LLC,personal_care,"Nurse, children's",43,NE,North Loup,56.36
Hackett Group,travel,Contractor,42,AZ,Phoenix,6.92
Ortiz Group,grocery_net,Music therapist,39,WY,Rock Springs,47.82
"Goyette, Howell and Collie",shopping_pos,"Pilot, airline",35,WY,Laramie,48.36
Prosacco LLC,personal_care,Web designer,40,CA,Smith River,19.52
Parisian and Sons,gas_transport,"Engineer, communications",22,MO,Ballwin,48.43
Bogisich-Weimann,kids_pets,Production manager,66,ID,Spirit Lake,99.31
"Prosacco, Kreiger and Kovacek",home,Magazine features editor,44,CA,Sacramento,27.34
"Crist, Jakubowski and Littel",home,Architectural technologist,62,NM,Llano,5.1
"Zieme, Bode and Dooley",gas_transport,Science writer,68,CA,San Jose,55.79
Kutch LLC,gas_transport,Public relations account executive,84,CO,Meredith,54.08
"Schultz, Simonis and Little",grocery_pos,Health physicist,52,CA,Newhall,206.57
Heidenreich PLC,grocery_pos,Firefighter,50,CA,Norwalk,60.98
